"Município";"Leitos Repouso/Observação Ped";"Leitos Repouso/Observação Femin";"Leitos Repouso/Observação Masc";"Leitos Repouso/Observação Indif"
"240780 Monte Alegre";-;-;-;2
"240800 Mossoró";-;-;1;2
"240810 Natal";6;3;2;76
"240820 Nísia Floresta";-;2;2;2
"240850 Ouro Branco";-;3;2;-
"240860 Paraná";-;-;-;1
"240870 Paraú";-;-;-;6
"240880 Parazinho";3;2;2;2
"240890 Parelhas";-;-;-;3
"240325 Parnamirim";-;3;3;18
"240910 Passa e Fica";2;-;-;2
"240930 Patu";-;-;-;1
"240940 Pau dos Ferros";-;-;-;12
"240950 Pedra Grande";-;-;-;3
"240960 Pedra Preta";-;-;-;2
"240970 Pedro Avelino";-;-;-;1
"240980 Pedro Velho";3;3;3;2
"241000 Pilões";3;2;2;7
"241020 Portalegre";-;-;-;1
"241025 Porto do Mangue";-;2;2;3
"241050 Rafael Fernandes";-;-;-;2
"241060 Rafael Godeiro";2;2;2;-
"241070 Riacho da Cruz";-;-;-;1
"241080 Riacho de Santana";2;2;2;-
"240895 Rio do Fogo";2;2;2;1
"241100 Rodolfo Fernandes";-;-;-;3
"241120 Santa Cruz";-;-;-;5
"240933 Santa Maria";-;-;-;3
"241140 Santana do Matos";-;-;-;1
"241150 Santo Antônio";-;-;-;2
"241160 São Bento do Norte";-;-;-;8
"241170 São Bento do Trairí";-;5;3;-
"241180 São Fernando";-;-;-;4
"241200 São Gonçalo do Amarante";-;4;4;2
"241220 São José de Mipibu";2;1;41;4
"241230 São José do Campestre";-;-;-;2
"241240 São José do Seridó";3;6;3;1
"241250 São Miguel";-;3;3;5
"241280 São Rafael";-;-;-;3
"241300 São Vicente";1;3;3;-
"241320 Senador Georgino Avelino";1;1;1;2
"241030 Serra Caiada";-;4;4;2
"241335 Serra do Mel";-;-;-;2
"241340 Serra Negra do Norte";-;-;-;1
"241360 Severiano Melo";-;-;-;1
"241370 Sítio Novo";-;1;1;-
"241410 Tenente Ananias";1;1;1;3
"241105 Tibau";3;5;5;-
"241420 Tibau do Sul";-;-;-;3
"241450 Umarizal";-;-;-;4
"241470 Várzea";-;-;-;3
"241475 Venha-Ver";-;-;-;12
"241490 Viçosa";-;-;-;1
"250010 Água Branca";1;1;1;-
"250020 Aguiar";-;2;3;-
"250030 Alagoa Grande";-;2;2;-
"250040 Alagoa Nova";13;10;7;4
"250050 Alagoinha";-;-;-;1
"250073 Amparo";-;2;2;-
"250115 Areia de Baraúnas";-;-;-;2
"250130 Aroeiras";-;2;2;-
"250135 Assunção";-;-;-;1
"250140 Baía da Traição";-;-;-;7
"250153 Baraúna";4;-;-;7
"250160 Barra de Santa Rosa";-;-;-;5
"250157 Barra de Santana";-;-;-;4
"250180 Bayeux";7;5;2;6
"250200 Belém do Brejo do Cruz";-;3;3;-
"250205 Bernardino Batista";4;4;4;-
"250215 Boa Vista";-;2;2;-
"250240 Bonito de Santa Fé";-;-;-;2
"250250 Boqueirão";-;-;-;15
"250280 Brejo do Cruz";-;-;-;4
"250300 Caaporã";-;-;-;2
"250350 Cacimba de Dentro";1;-;-;-
"250370 Cajazeiras";-;-;-;4
"250375 Cajazeirinhas";-;2;2;-
"250380 Caldas Brandão";-;-;-;1
"250390 Camalaú";-;5;4;1
"250400 Campina Grande";33;14;31;118
"250403 Capim";-;-;-;2
"250407 Caraúbas";-;2;2;-
"250420 Catingueira";-;-;-;1
"250430 Catolé do Rocha";-;-;-;5
"250435 Caturité";-;-;-;2
"250440 Conceição";1;-;-;-
"250450 Condado";-;-;-;8
"250460 Conde";-;-;-;71
"250470 Congo";-;-;-;3
"250480 Coremas";2;3;3;-
"250490 Cruz do Espírito Santo";-;3;4;-
"250500 Cubati";-;-;-;4
"250510 Cuité";-;2;2;1
"250523 Cuité de Mamanguape";-;-;-;1
"250520 Cuitegi";-;-;-;1
"250527 Curral de Cima";-;-;-;3
"250535 Damião";-;-;-;4
"250540 Desterro";-;3;3;3
"250570 Dona Inês";1;2;2;-
"250580 Duas Estradas";-;-;-;4
"250620 Frei Martinho";-;-;-;2
"250625 Gado Bravo";1;-;-;1
"250630 Guarabira";3;-;-;3
"250660 Ibiara";-;-;-;3
"250260 Igaracy";2;6;4;-
"250680 Ingá";-;3;3;-
"250690 Itabaiana";-;3;7;-
"250700 Itaporanga";-;4;4;1
"250710 Itapororoca";-;-;2;7
"250720 Itatuba";-;4;4;2
"250730 Jacaraú";-;6;3;-
"250750 João Pessoa";25;43;47;124
"251365 Joca Claudino";2;2;2;1
"250760 Juarez Távora";3;-;-;12
"250780 Junco do Seridó";7;7;8;-
"250790 Juripiranga";4;4;4;2
"250810 Lagoa";-;2;2;-
"250830 Lagoa Seca";-;-;-;1
"250840 Lastro";-;-;-;3
"250850 Livramento";-;3;3;-
"250855 Logradouro";-;-;-;1
"250860 Lucena";3;6;4;8
"250870 Mãe d'Água";-;-;-;2
"250880 Malta";-;-;-;1
"250890 Mamanguape";-;2;2;15
"250910 Mari";1;-;1;2
"250920 Massaranduba";1;1;1;1
"250930 Mataraca";2;2;2;1
"250937 Mato Grosso";-;1;1;-
"250939 Maturéia";-;-;-;2
"250940 Mogeiro";-;-;-;1
"250950 Montadas";-;-;4;-
"250970 Monteiro";2;9;7;-
"251000 Nazarezinho";-;-;-;1
"251030 Nova Palmeira";-;-;-;1
"251040 Olho d'Água";-;1;-;-
"251050 Olivedos";-;-;-;6
"251060 Ouro Velho";-;-;-;2
"251070 Passagem";-;-;-;6
"251080 Patos";-;-;-;7
"251090 Paulista";-;4;4;4
"251272 Pedro Régis";-;-;-;1
"251130 Piancó";1;-;-;9
"251140 Picuí";-;-;-;12
"251150 Pilar";-;1;1;-
"251190 Pitimbu";-;2;2;-
"251200 Pocinhos";-;3;3;10
"251203 Poço Dantas";2;2;2;4
"251207 Poço de José de Moura";-;-;-;3
"251210 Pombal";2;4;3;2
"251230 Princesa Isabel";-;-;-;8
"251250 Queimadas";-;7;6;21
"251275 Riachão do Bacamarte";2;-;-;2
"251276 Riachão do Poço";-;-;-;1
"251278 Riacho de Santo Antônio";-;-;-;1
"251290 Rio Tinto";-;-;-;2
"251310 Salgado de São Félix";-;-;-;10
"251315 Santa Cecília";-;-;-;3
"251320 Santa Cruz";5;6;4;-
"251335 Santa Inês";1;1;1;-
"251340 Santa Luzia";1;-;-;-
"251370 Santa Rita";5;5;3;8
"251350 Santana de Mangueira";-;1;1;-
"251360 Santana dos Garrotes";-;6;6;-
"251385 Santo André";-;3;3;2
"251392 São Bentinho";-;3;3;3
"251396 São Domingos";-;2;2;1
"251394 São Domingos do Cariri";-;-;-;2
"251398 São Francisco";-;-;-;3
"250070 São João do Rio do Peixe";3;5;5;3
"251410 São João do Tigre";1;-;-;6
"251450 São José de Piranhas";2;4;3;1
"251455 São José de Princesa";1;1;1;-
"251460 São José do Bonfim";6;6;6;-
"251445 São José dos Ramos";4;2;2;1
"251510 São Sebastião de Lagoa de Roça";-;6;6;2
"251520 São Sebastião do Umbuzeiro";-;8;11;-
"251540 São Vicente do Seridó";-;-;-;3
"251530 Sapé";-;-;-;1
"251570 Serra Grande";4;4;4;-
"251580 Serra Redonda";-;-;-;2
"251590 Serraria";2;3;3;-
"251593 Sertãozinho";-;2;1;-
"251597 Sobrado";-;-;-;1
"251600 Solânea";-;-;-;1
"251610 Soledade";-;4;4;-
"251615 Sossêgo";-;-;-;6
"251620 Sousa";6;2;4;12
"251630 Sumé";-;-;-;4
"251640 Tacima";-;-;-;5
"251670 Teixeira";5;8;8;2
"251675 Tenório";-;-;-;3
"251690 Uiraúna";-;-;-;4
"251700 Umbuzeiro";-;-;-;5
"251710 Várzea";-;-;-;1
"251720 Vieirópolis";-;1;3;3
"250550 Vista Serrana";-;-;-;2
"251740 Zabelê";2;3;2;-
"260005 Abreu e Lima";7;5;20;-
"260010 Afogados da Ingazeira";1;2;2;8
"260020 Afrânio";5;6;4;1
"260030 Agrestina";-;2;-;-
"260040 Água Preta";3;3;3;3
"260050 Águas Belas";-;-;-;1
"260100 Angelim";-;-;-;1
"260110 Araripina";2;3;3;5
"260120 Arcoverde";1;4;7;7
"260140 Barreiros";-;3;2;5
"260170 Belo Jardim";3;-;-;4
"260190 Bezerros";-;-;-;1
"260200 Bodocó";-;-;-;4
"260220 Bom Jardim";-;-;-;1
"260260 Brejo da Madre de Deus";3;3;3;-
"260270 Buenos Aires";1;-;-;4
"260280 Buíque";-;2;-;-
"260290 Cabo de Santo Agostinho";-;-;-;13
"260300 Cabrobó";-;-;-;2
"260345 Camaragibe";-;-;68;7
"260350 Camocim de São Félix";-;-;-;2
"260360 Camutanga";2;6;5;1
"260390 Carnaíba";-;-;-;2
"260400 Carpina";7;-;-;4
"260410 Caruaru";1;10;86;86
"260420 Catende";-;-;-;3
"260450 Chã Grande";-;-;-;2
"260460 Condado";-;-;-;2
"260480 Cortês";-;-;-;1
"260490 Cumaru";-;-;-;1
"260500 Cupira";-;-;-;1
"260510 Custódia";-;-;-;1
"260515 Dormentes";-;-;-;1
"260520 Escada";3;3;3;-
"260530 Exu";1;3;2;-
"260550 Ferreiros";-;-;-;5
"260560 Flores";-;2;1;-
"260570 Floresta";-;-;-;2
"260590 Gameleira";-;-;-;2
"260600 Garanhuns";1;-;-;3
"260620 Goiana";-;1;1;3
"260640 Gravatá";-;-;-;7
"260650 Iati";-;3;-;-
"260660 Ibimirim";-;-;-;2
"260680 Igarassu";-;2;44;22
"260690 Iguaracy";-;-;-;2
"260760 Ilha de Itamaracá";-;-;-;2
"260700 Inajá";-;-;-;4
"260710 Ingazeira";-;-;-;2
"260720 Ipojuca";-;9;11;16
"260730 Ipubi";-;-;-;5
"260740 Itacuruba";-;-;-;1
"260780 Itaquitinga";-;-;2;-
"260790 Jaboatão dos Guararapes";14;11;12;21
"260795 Jaqueira";2;2;2;-
"260805 Jatobá";-;-;-;4
"260820 Joaquim Nabuco";2;4;4;-
"260825 Jucati";-;-;-;2
"260850 Lagoa de Itaenga";-;-;-;3
"260845 Lagoa do Carro";-;1;1;-
"260875 Lagoa Grande";-;-;-;1
"260880 Lajedo";-;-;-;1
"260890 Limoeiro";-;2;2;2
"260915 Manari";-;-;-;2
"261430 Moreilândia";4;5;5;-
"260950 Nazaré da Mata";-;-;-;2
"260960 Olinda";-;4;2;12
"260970 Orobó";2;1;1;-
"260990 Ouricuri";-;4;6;5
"261000 Palmares";-;-;4;2
"261010 Palmeirina";-;-;-;3
"261020 Panelas";2;-;-;-
"261030 Paranatama";-;-;-;1
"261040 Parnamirim";-;-;-;4
"261060 Paudalho";-;1;-;8
"261070 Paulista";-;7;6;1
"261080 Pedra";-;-;-;2
"261090 Pesqueira";-;1;7;7
"261100 Petrolândia";-;-;-;3
"261110 Petrolina";13;-;8;79
"261120 Poção";1;-;-;1
"261150 Quipapá";-;1;-;2
"261153 Quixaba";4;4;3;-
"261160 Recife";7;35;54;268
"261170 Riacho das Almas";-;-;-;3
"261190 Rio Formoso";5;-;-;-
"261220 Salgueiro";-;-;-;3
"261230 Saloá";-;-;-;1
"261240 Sanharó";-;-;-;4
"261245 Santa Cruz";-;-;-;3
"261247 Santa Cruz da Baixa Verde";3;3;3;-
"261255 Santa Filomena";-;-;-;1
"261260 Santa Maria da Boa Vista";-;-;-;1
"261280 Santa Terezinha";-;-;-;1
"261290 São Benedito do Sul";5;6;3;1
"261300 São Bento do Una";-;-;-;2
"261330 São Joaquim do Monte";1;-;-;7
"261350 São José do Belmonte";-;-;-;2
"261360 São José do Egito";-;-;-;4
"261370 São Lourenço da Mata";-;1;1;1
"261380 São Vicente Ferrer";-;-;3;-
"261390 Serra Talhada";1;4;4;12
"261400 Serrita";-;-;-;1
"261410 Sertânia";3;2;-;-
"261450 Surubim";8;1;2;3
"261460 Tabira";5;-;-;3
"261480 Tacaratu";10;9;9;-
"261500 Taquaritinga do Norte";-;-;-;3
"261510 Terezinha";-;-;-;2
"261530 Timbaúba";5;-;-;6
"261540 Toritama";-;-;-;3
"261560 Trindade";-;2;4;-
"261570 Triunfo";-;3;-;1
"261590 Tuparetama";-;-;-;2
"261600 Venturosa";-;-;-;2
"261610 Verdejante";-;-;-;2
"261630 Vicência";-;-;-;2
"261640 Vitória de Santo Antão";-;4;4;14
"270020 Anadia";-;-;-;5
"270030 Arapiraca";12;4;24;35
"270040 Atalaia";-;2;2;-
"270050 Barra de Santo Antônio";-;-;-;4
"270060 Barra de São Miguel";-;-;-;3
"270070 Batalha";-;-;-;4
"270090 Belo Monte";2;-;-;-
"270120 Cacimbinhas";-;-;-;1
"270140 Campo Alegre";-;-;-;16
"270150 Campo Grande";-;-;-;2
"270160 Canapi";-;-;-;1
"270170 Capela";-;-;-;6
"270210 Colônia Leopoldina";7;-;-;9
"270220 Coqueiro Seco";-;-;-;6
"270230 Coruripe";-;-;-;9
"270235 Craíbas";-;-;-;3
"270240 Delmiro Gouveia";-;-;-;2
"270255 Estrela de Alagoas";-;-;-;4
"270260 Feira Grande";-;-;-;1
"270290 Girau do Ponciano";-;-;-;22
"270320 Igreja Nova";-;-;-;5
"270350 Jacuípe";-;-;-;3
"270360 Japaratinga";-;-;-;2
"270375 Jequiá da Praia";-;-;-;11
"270390 Jundiá";-;-;-;6
"270400 Junqueiro";-;1;1;-
"270410 Lagoa da Canoa";-;-;-;3
"270420 Limoeiro de Anadia";-;-;-;1
"270430 Maceió";14;13;21;157
"270440 Major Isidoro";-;-;-;3
"270490 Mar Vermelho";-;-;-;7
"270450 Maragogi";2;-;-;13
"270460 Maravilha";1;-;-;1
"270470 Marechal Deodoro";-;-;-;4
"270500 Mata Grande";-;-;-;4
"270510 Matriz de Camaragibe";-;-;-;4
"270520 Messias";-;1;1;-
"270530 Minador do Negrão";-;-;-;5
"270550 Murici";-;-;-;8
"270570 Olho d'Água das Flores";-;-;-;9
"270580 Olho d'Água do Casado";-;-;-;2
"270590 Olho d'Água Grande";-;-;-;2
"270600 Olivença";-;-;-;3
"270630 Palmeira dos Índios";-;-;-;14
"270640 Pão de Açúcar";-;-;-;2
"270642 Pariconha";-;-;-;5
"270644 Paripueira";-;-;16;1
"270650 Passo de Camaragibe";3;2;2;2
"270670 Penedo";-;-;-;7
"270680 Piaçabuçu";6;6;5;9
"270690 Pilar";-;-;-;3
"270720 Poço das Trincheiras";-;3;4;2
"270730 Porto Calvo";-;-;-;2
"270740 Porto de Pedras";-;-;-;1
"270760 Quebrangulo";-;-;-;1
"270770 Rio Largo";1;-;-;4
"270780 Roteiro";-;-;-;3
"270790 Santa Luzia do Norte";-;-;-;2
"270800 Santana do Ipanema";-;-;-;3
"270830 São José da Laje";-;-;-;2
"270850 São Luís do Quitunde";-;-;-;2
"270860 São Miguel dos Campos";-;-;-;1
"270870 São Miguel dos Milagres";-;-;-;10
"270890 Satuba";-;2;2;1
"270895 Senador Rui Palmeira";2;-;-;7
"270915 Teotônio Vilela";-;-;-;19
"270930 União dos Palmares";-;1;1;-
"280010 Amparo de São Francisco";-;-;-;1
"280030 Aracaju";15;17;13;87
"280050 Areia Branca";2;-;-;4
"280067 Boquim";-;-;-;2
"280070 Brejo Grande";-;-;-;3
"280100 Campo do Brito";-;-;-;10
"280140 Carira";-;-;-;3
"280150 Carmópolis";6;4;4;1
"280240 Gararu";-;-;-;7
"280260 Gracho Cardoso";-;-;-;2
"280270 Ilha das Flores";-;-;-;8
"280290 Itabaiana";3;8;2;3
"280300 Itabaianinha";5;7;6;-
"280310 Itabi";-;-;-;4
"280320 Itaporanga d'Ajuda";-;-;-;2
"280350 Lagarto";2;3;2;15
"280370 Macambira";-;-;-;3
"280400 Maruim";-;-;-;3
"280410 Moita Bonita";-;-;-;2
"280420 Monte Alegre de Sergipe";-;4;4;-
"280440 Neópolis";5;4;4;-
"280450 Nossa Senhora da Glória";-;-;-;2
"280460 Nossa Senhora das Dores";3;-;-;4
"280470 Nossa Senhora de Lourdes";-;-;-;7
"280480 Nossa Senhora do Socorro";1;-;-;9
"280490 Pacatuba";-;3;3;-
"280500 Pedra Mole";-;-;-;1
"280510 Pedrinhas";-;-;-;3
"280520 Pinhão";-;4;4;-
"280540 Poço Redondo";-;-;-;8
"280550 Poço Verde";-;-;-;2
"280560 Porto da Folha";1;-;-;-
"280580 Riachão do Dantas";6;5;5;5
"280620 Salgado";-;-;-;1
"280650 Santa Rosa de Lima";1;-;-;2
"280660 Santo Amaro das Brotas";-;-;-;2
"280670 São Cristóvão";3;-;10;19
"280700 São Miguel do Aleixo";-;-;-;3
"280720 Siriri";-;-;-;6
"280740 Tobias Barreto";-;-;-;6
"280760 Umbaúba";-;2;2;-
"290010 Abaíra";-;-;-;4
"290020 Abaré";-;-;-;2
"290030 Acajutiba";-;2;2;3
"290035 Adustina";-;-;-;15
"290040 Água Fria";1;-;-;-
"290070 Alagoinhas";1;-;-;19
"290080 Alcobaça";1;1;1;-
"290090 Almadina";-;-;-;4
"290100 Amargosa";-;-;-;4
"290110 Amélia Rodrigues";-;-;-;7
"290115 América Dourada";-;-;-;2
"290120 Anagé";-;3;2;-
"290130 Andaraí";-;-;-;11
"290135 Andorinha";-;-;-;4
"290140 Angical";-;3;3;-
"290160 Antas";-;-;-;2
"290180 Antônio Gonçalves";-;3;-;-
"290190 Aporá";-;-;-;11
"290195 Apuarema";-;-;-;1
"290200 Aracatu";-;-;-;4
"290210 Araci";1;-;-;7
"290220 Aramari";-;-;-;2
"290225 Arataca";-;-;-;8
"290240 Aurelino Leal";3;3;3;1
"290250 Baianópolis";-;-;-;2
"290260 Baixa Grande";-;-;-;2
"290265 Banzaê";-;-;-;6
"290280 Barra da Estiva";-;-;-;7
"290290 Barra do Choça";-;-;10;1
"290320 Barreiras";5;-;-;10
"290330 Barro Preto";1;-;-;3
"290327 Barrocas";-;-;-;6
"290340 Belmonte";-;-;-;2
"290350 Belo Campo";-;-;-;6
"290390 Bom Jesus da Lapa";-;-;-;1
"290395 Bom Jesus da Serra";-;-;-;2
"290405 Bonito";-;-;-;1
"290420 Botuporã";-;1;1;-
"290430 Brejões";3;2;2;2
"290450 Brotas de Macaúbas";4;4;4;2
"290460 Brumado";6;-;-;8
"290475 Buritirama";-;-;-;3
"290485 Cabaceiras do Paraguaçu";1;1;1;8
"290490 Cachoeira";-;-;-;4
"290500 Caculé";-;-;-;14
"290510 Caém";-;2;1;-
"290515 Caetanos";3;6;6;9
"290520 Caetité";-;-;-;1
"290530 Cafarnaum";-;-;-;1
"290540 Cairu";-;-;-;6
"290550 Caldeirão Grande";-;-;-;2
"290560 Camacan";-;2;-;3
"290570 Camaçari";-;-;-;5
"290580 Camamu";1;-;-;5
"290590 Campo Alegre de Lourdes";-;2;2;-
"290600 Campo Formoso";-;-;-;10
"290610 Canápolis";-;-;-;6
"290620 Canarana";-;-;-;1
"290670 Cândido Sales";-;-;-;1
"290680 Cansanção";-;2;5;5
"290682 Canudos";-;-;-;2
"290685 Capela do Alto Alegre";-;-;-;2
"290687 Capim Grosso";3;2;-;21
"290689 Caraíbas";-;-;-;1
"290690 Caravelas";-;2;2;2
"290700 Cardeal da Silva";-;-;-;1
"290710 Carinhanha";-;-;-;6
"290720 Casa Nova";2;-;-;4
"290730 Castro Alves";2;2;2;-
"290740 Catolândia";-;-;-;4
"290750 Catu";6;-;2;5
"290755 Caturama";2;2;2;-
"290760 Central";-;2;4;2
"290770 Chorrochó";3;3;3;1
"290780 Cícero Dantas";-;-;-;4
"290790 Cipó";-;-;-;6
"290800 Coaraci";-;-;-;3
"290810 Cocos";-;-;-;2
"290820 Conceição da Feira";-;-;-;4
"290840 Conceição do Coité";3;-;-;10
"290850 Conceição do Jacuípe";-;-;-;11
"290860 Conde";-;-;-;11
"290890 Coração de Maria";-;-;-;7
"290910 Coribe";-;-;-;3
"290920 Coronel João Sá";2;4;4;1
"290930 Correntina";-;-;-;6
"290950 Cravolândia";-;-;-;3
"290980 Cruz das Almas";-;2;1;4
"290990 Curaçá";4;3;4;-
"291000 Dário Meira";-;3;3;-
"291005 Dias d'Ávila";-;-;-;9
"291010 Dom Basílio";-;-;-;9
"291020 Dom Macedo Costa";-;-;-;6
"291030 Elísio Medrado";4;3;3;2
"291040 Encruzilhada";-;1;1;3
"291050 Entre Rios";1;1;1;8
"290050 Érico Cardoso";2;4;4;-
"291060 Esplanada";-;-;-;12
"291070 Euclides da Cunha";-;-;-;13
"291072 Eunápolis";4;3;3;16
"291075 Fátima";-;-;1;-
"291077 Feira da Mata";-;-;-;14
"291080 Feira de Santana";30;59;43;114
"291085 Filadélfia";3;-;-;6
"291090 Firmino Alves";-;-;-;1
"291110 Formosa do Rio Preto";-;-;-;4
"291125 Gavião";-;-;-;2
"291140 Glória";-;-;-;6
"291160 Governador Mangabeira";-;1;1;8
"291165 Guajeru";-;-;-;2
"291170 Guanambi";-;-;-;28
"291180 Guaratinga";3;-;-;3
"291185 Heliópolis";-;-;-;3
"291190 Iaçu";-;-;-;8
"291210 Ibicaraí";-;2;2;-
"291220 Ibicoara";-;3;3;11
"291240 Ibipeba";-;-;-;6
"291250 Ibipitanga";1;1;1;1
"291270 Ibirapitanga";-;-;-;6
"291280 Ibirapuã";3;4;4;3
"291290 Ibirataia";-;-;-;3
"291320 Ibotirama";-;-;-;7
"291340 Igaporã";-;-;-;8
"291350 Iguaí";-;-;-;1
"291360 Ilhéus";13;9;5;32
"291380 Ipecaetá";4;-;-;7
"291390 Ipiaú";-;-;-;7
"291400 Ipirá";-;-;-;11
"291420 Irajuba";-;-;-;3
"291450 Irará";-;-;-;8
"291460 Irecê";-;-;-;10
"291470 Itaberaba";-;-;-;11
"291480 Itabuna";5;8;8;51
"291500 Itaeté";-;3;3;5
"291560 Itamaraju";2;-;-;2
"291570 Itamari";-;-;-;2
"291580 Itambé";1;1;1;1
"291590 Itanagra";-;-;-;6
"291600 Itanhém";3;-;-;3
"291610 Itaparica";-;-;-;5
"291620 Itapé";-;3;-;4
"291630 Itapebi";-;-;-;1
"291640 Itapetinga";6;1;1;6
"291680 Itarantim";-;-;-;3
"291690 Itiruçu";-;-;-;4
"291700 Itiúba";-;-;-;2
"291710 Itororó";-;-;-;1
"291720 Ituaçu";-;-;-;3
"291730 Ituberá";-;-;-;3
"291733 Iuiú";-;-;-;1
"291740 Jacaraci";-;-;-;5
"291750 Jacobina";-;4;1;53
"291770 Jaguarari";2;3;2;1
"291800 Jequié";-;3;3;19
"291810 Jeremoabo";-;-;-;1
"291830 Jitaúna";-;2;2;3
"291835 João Dourado";-;-;-;4
"291840 Juazeiro";5;6;5;14
"291850 Jussara";-;-;-;3
"291860 Jussiape";-;-;-;3
"291870 Lafaiete Coutinho";4;2;2;1
"291875 Lagoa Real";4;6;6;5
"291880 Laje";-;-;-;3
"291900 Lajedinho";-;-;-;5
"291905 Lajedo do Tabocal";-;-;-;5
"291915 Lapão";-;2;2;-
"291920 Lauro de Freitas";5;-;-;31
"291930 Lençóis";-;1;1;1
"291950 Livramento de Nossa Senhora";-;-;-;7
"291955 Luís Eduardo Magalhães";7;18;23;12
"291960 Macajuba";4;4;4;4
"291980 Macaúbas";-;3;3;3
"291995 Maetinga";-;-;-;11
"292000 Maiquinique";-;-;-;2
"292010 Mairi";-;-;-;12
"292020 Malhada";-;-;-;5
"292030 Malhada de Pedras";-;-;-;3
"292040 Manoel Vitorino";-;2;2;-
"292050 Maracás";-;-;-;4
"292060 Maragogipe";3;4;3;2
"292090 Mascote";-;-;-;8
"292100 Mata de São João";2;2;2;3
"292110 Medeiros Neto";-;-;-;14
"292120 Miguel Calmon";-;-;-;3
"292130 Milagres";-;-;-;7
"292140 Mirangaba";-;-;-;1
"292150 Monte Santo";3;3;3;12
"292160 Morpará";2;-;-;2
"292170 Morro do Chapéu";-;-;-;2
"292180 Mortugaba";-;-;-;1
"292200 Mucuri";3;2;2;3
"292205 Mulungu do Morro";-;-;-;2
"292210 Mundo Novo";-;-;-;3
"292220 Muniz Ferreira";1;1;1;-
"292225 Muquém de São Francisco";-;-;-;1
"292230 Muritiba";1;8;4;5
"292250 Nazaré";2;2;2;24
"292260 Nilo Peçanha";2;-;-;7
"292273 Nova Fátima";-;-;-;4
"292280 Nova Itarana";4;3;1;4
"292290 Nova Soure";-;-;-;6
"292300 Nova Viçosa";4;-;-;9
"292310 Olindina";-;1;1;-
"292320 Oliveira dos Brejinhos";2;4;3;-
"292335 Ourolândia";-;-;-;1
"292350 Palmeiras";-;3;3;-
"292360 Paramirim";-;2;2;-
"292370 Paratinga";1;-;-;1
"292380 Paripiranga";6;6;6;-
"292400 Paulo Afonso";-;1;-;19
"292405 Pé de Serra";2;2;3;1
"292410 Pedrão";-;1;1;-
"292420 Pedro Alexandre";1;-;-;-
"292430 Piatã";-;-;-;1
"292440 Pilão Arcado";-;-;-;3
"292450 Pindaí";-;-;-;2
"292460 Pindobaçu";-;-;-;8
"292465 Pintadas";1;1;1;2
"292500 Planalto";-;4;-;1
"292510 Poções";-;-;-;12
"292520 Pojuca";6;6;6;4
"292525 Ponto Novo";-;1;-;1
"292530 Porto Seguro";-;-;-;12
"292540 Potiraguá";-;-;-;6
"292550 Prado";1;2;-;9
"292570 Presidente Jânio Quadros";-;-;-;7
"292575 Presidente Tancredo Neves";-;1;1;3
"292580 Queimadas";4;-;-;1
"292590 Quijingue";-;1;1;5
"292593 Quixabeira";8;8;8;23
"292595 Rafael Jambeiro";-;-;-;2
"292600 Remanso";-;-;-;3
"292620 Riachão das Neves";9;-;-;1
"292630 Riachão do Jacuípe";-;-;-;13
"292640 Riacho de Santana";-;5;5;4
"292650 Ribeira do Amparo";-;-;-;2
"292660 Ribeira do Pombal";-;-;-;14
"292690 Rio do Pires";-;-;3;-
"292710 Rodelas";4;4;3;-
"292720 Ruy Barbosa";-;3;3;10
"292730 Salinas da Margarida";-;-;-;4
"292740 Salvador";14;49;53;332
"292750 Santa Bárbara";-;-;-;8
"292805 Santa Luzia";-;-;-;5
"292810 Santa Maria da Vitória";-;-;-;5
"292840 Santa Rita de Cássia";-;-;-;9
"292800 Santaluz";-;4;5;1
"292820 Santana";-;-;-;14
"292830 Santanópolis";-;-;-;4
"292860 Santo Amaro";-;-;-;1
"292870 Santo Antônio de Jesus";5;2;2;11
"292880 Santo Estêvão";1;1;1;13
"292890 São Desidério";-;-;-;2
"292895 São Domingos";5;-;-;1
"292900 São Félix";-;-;-;7
"292905 São Félix do Coribe";4;-;-;-
"292920 São Francisco do Conde";5;2;2;6
"292930 São Gonçalo dos Campos";-;-;-;1
"292935 São José da Vitória";-;-;-;3
"292950 São Sebastião do Passé";-;-;-;1
"292980 Saúde";-;1;3;-
"292990 Seabra";-;-;-;6
"293010 Senhor do Bonfim";9;6;6;20
"293015 Serra do Ramalho";-;4;4;5
"293040 Serra Preta";-;-;-;4
"293050 Serrinha";2;1;1;11
"293070 Simões Filho";-;-;-;7
"293075 Sítio do Mato";-;5;5;-
"293076 Sítio do Quinto";-;-;-;2
"293077 Sobradinho";1;-;-;1
"293080 Souto Soares";-;-;-;4
"293105 Tanque Novo";-;2;2;3
"293110 Tanquinho";-;-;-;2
"293130 Tapiramutá";8;6;6;4
"293135 Teixeira de Freitas";3;4;4;35
"293140 Teodoro Sampaio";2;6;6;2
"293150 Teofilândia";-;-;-;4
"293180 Tremedal";4;5;3;-
"293190 Tucano";-;-;-;10
"293200 Uauá";6;7;7;-
"293210 Ubaíra";2;-;-;2
"293245 Umburanas";-;2;3;-
"293250 Una";1;-;-;3
"293260 Urandi";-;-;-;12
"293270 Uruçuca";-;-;-;2
"293280 Utinga";-;1;1;1
"293290 Valença";-;-;2;6
"293300 Valente";1;1;1;3
"293310 Várzea do Poço";-;-;-;1
"293315 Várzea Nova";4;-;-;24
"293317 Varzedo";-;-;-;2
"293325 Vereda";1;-;-;-
